epoch,train_accuracy,train_f1,train_precision,train_recall,train_loss,val_accuracy,val_f1,val_precision,val_recall,val_loss
1,0.927069044352995,0.9050410880025516,0.9121170087925718,0.8987929072610398,0.2174046339253031,0.9913669064748202,0.8139446843820785,0.8281820946076784,0.8024859642250947,0.0256414615141693
2,0.9908550525834476,0.9862655110572764,0.9863484719735066,0.9861872924077968,0.0320301153239803,0.9856115107913668,0.8020365670069763,0.8252324348695153,0.7854106280193237,0.0370409951132883
3,0.9945130315500684,0.9928161326110048,0.9940842724272306,0.9915732118438072,0.0137282018930002,0.9928057553956836,0.8148782801063477,0.8292964754936669,0.8032367149758454,0.0165271814022493
4,0.9972565157750344,0.997507432362994,0.9974212730901328,0.9975941438014782,0.0089137859130904,0.99568345323741,0.9842725701144016,0.9964715600660844,0.9739130434782608,0.0180180331042627
5,0.9931412894375856,0.9905125437269766,0.9917941992183752,0.98925727391872,0.0203574590563101,0.9870503597122302,0.8101581642594834,0.8036269016011905,0.817918788353571,0.0250698857795958
6,0.9933699131229996,0.9898788108700692,0.9891639030083256,0.9906027955159392,0.0172513726709731,0.9971223021582734,0.8286976841935317,0.8325859491778774,0.824975845410628,0.0119917917293951
7,0.9954275262917238,0.9935549814020528,0.9947924392514989,0.992340784173348,0.0150427885410733,0.9971223021582734,0.9973332148095472,0.9973684210526316,0.9973333333333332,0.0090156007660017
8,0.9954275262917238,0.9947568558826072,0.99477238220986,0.9947431310656828,0.0129956914351472,0.9985611510791368,0.994891103728313,0.9986754966887418,0.9913043478260868,0.0047900042344979
9,0.9967992684042066,0.9971077778701029,0.9971575603387725,0.9970590689907696,0.0085316327146879,1.0,1.0,1.0,1.0,0.0003438887448134
10,0.9961133973479652,0.9963981313380128,0.9964184873852132,0.9963780875861136,0.0143893270248005,0.9985611510791368,0.9988840809041346,0.9986754966887418,0.9990990990990992,0.0026017014433689
11,0.9967992684042066,0.997051841017256,0.9970748624586072,0.997030686193084,0.0107116252424502,0.9971223021582734,0.9937379471446268,0.9903421633554084,0.9973333333333332,0.0076378539709794
12,0.9949702789208962,0.989934346152879,0.9888575761575744,0.9910341375117228,0.0135157575097942,0.99568345323741,0.9840663136081048,0.996078431372549,0.9739130434782608,0.0254857999730125
13,0.9958847736625516,0.9940893110128318,0.994089833565465,0.9940895695431324,0.0116129841684141,0.9985611510791368,0.9986666518516872,0.9986754966887418,0.9986666666666666,0.0046359370911447
14,0.9981710105166895,0.9978849377943716,0.997243413219274,0.9985345372982866,0.0051989449578453,0.9971223021582734,0.9937727692049956,0.9977786357021946,0.9899710144927536,0.0086545684715651
15,0.997485139460448,0.9961120027710182,0.9967298451855304,0.995503269452376,0.0076316260216327,0.9971223021582734,0.9897952008796012,0.9977786357021946,0.9826086956521738,0.0089229604617585
16,0.998856881572931,0.9989710775659072,0.9989858940197164,0.998956764951903,0.0029740975144949,1.0,1.0,1.0,1.0,0.0024707432927944
17,0.9993141289437586,0.9982728595819956,0.9982735123417888,0.9982724680595214,0.0015419212481983,0.9985611510791368,0.9951061173533085,0.9991031390134528,0.9913043478260868,0.0032711778986138
18,0.9990855052583448,0.99926159465886,0.99926159465886,0.99926159465886,0.0026843168117323,0.9985611510791368,0.9951061173533085,0.9991031390134528,0.9913043478260868,0.0076164573777576
19,0.9995427526291724,0.9990296314895644,0.9996510420019497,0.9984142561983472,0.0018306386721432,0.9985611510791368,0.9951061173533085,0.9991031390134528,0.9913043478260868,0.0030533348418642
20,0.9993141289437586,0.9988070910134009,0.9981788929593928,0.9994415451945077,0.0021166891888381384,0.9985611510791367,0.9951061173533085,0.9991031390134528,0.9913043478260869,0.003388002260925575
